Player,Salary
Aaron Brooks,"$1,027,424"
Aaron Gray,"$2,612,500"
AJ Price,"$947,907"
Al Harrington,"$8,548,107"
Al Horford,"$12,000,000"
Al Jefferson,"$13,500,000"
Al-Farouq Aminu,"$3,700,000"
Alan Anderson,"$947,907"
Alec Burks,"$2,323,200"
Alex Len,"$3,492,720"
Alexey Shved,"$3,066,667"
Alexis Ajinca,"$635,880"
Allen Crabbe,"$825,000"
Alonzo Gee,"$3,250,000"
Amare Stoudemire,"$21,679,893"
Amir Johnson,"$6,500,000"
Anderson Varejao,"$9,100,000"
Andray Blatche,"$9,170,525"
Andre Drummond,"$2,462,400"
Andre Iguodala,"$12,868,632"
Andre Miller,"$5,000,000"
Andre Roberson,"$1,110,840"
Andrea Bargnani,"$11,000,000"
Andrei Kirilenko,"$3,183,000"
Andrew Bogut,"$14,200,000"
Andrew Bynum,"$7,000,000"
Andrew Nicholson,"$1,482,000"
Andris Biedrins,"$9,000,000"
Antawn Jamison,"$1,399,507"
Anthony Bennett,"$5,324,280"
Anthony Davis,"$5,375,760"
Anthony Morrow,"$1,027,424"
Anthony Randolph,"$1,750,000"
Archie Goodwin,"$1,064,400"
Arinze Onuaku,"$106,776"
Arnett Moultrie,"$1,089,240"
Aron Baynes,"$788,872"
Arron Afflalo,"$7,562,500"
Austin Daye,"$947,907"
Austin Rivers,"$2,339,040"
Avery Bradley,"$2,511,432"
Ben Gordon,"$13,200,000"
Ben McLemore,"$2,895,960"
Beno Udrih,"$1,272,279"
Bernard James,"$788,872"
Bismack Biyombo,"$3,217,680"
BJ Mullens,"$947,907"
Blake Griffin,"$16,402,500"
Boris Diaw,"$4,702,500"
Bradley Beal,"$4,319,280"
Brandan Wright,"$5,000,000"
Brandon Bass,"$6,750,000"
Brandon Davies,"$490,180"
Brandon Jennings,"$7,655,503"
Brandon Knight,"$2,947,800"
Brandon Roy,"$17,779,458"
Brandon Rush,"$4,000,000"
Brendan Haywood,"$7,073,500"
Brian Roberts,"$788,872"
Brook Lopez,"$14,694,000"
Carl Landry,"$6,750,000"
Carlos Boozer,"$15,300,000"
Carlos Delfino,"$3,250,000"
Carmelo Anthony,"$21,490,000"
Caron Butler,"$8,386,992"
Carrick Felix,"$490,180"
Cartier Martin,"$1,003,248"
Casper Ware,"$69,201"
Chandler Parsons,"$926,500"
Channing Frye,"$6,400,000"
Charlie Villanueva,"$8,580,000"
Chase Budinger,"$5,000,000"
Chauncey Billups,"$2,500,000"
Chris Andersen,"$6,217,507"
Chris Babb,"$138,403"
Chris Bosh,"$19,067,500"
Chris Copeland,"$3,000,000"
Chris Douglas-Roberts,"$535,288"
Chris Duhon,"$1,500,000"
Chris Johnson,"$916,099"
Chris Kaman,"$3,183,000"
Chris Paul,"$18,668,431"
Chris Singleton,"$1,707,720"
Chris Smith,"$184,538"
Chris Wright,"$139,212"
Christapher Johnson,"$320,000"
Chuck Hayes,"$5,722,500"
CJ McCollum,"$2,316,720"
CJ Miles,"$2,225,000"
CJ Watson,"$2,016,000"
Cody Zeller,"$3,857,040"
Cole Aldrich,"$884,293"
Corey Brewer,"$4,500,000"
Cory Joseph,"$1,182,600"
Courtney Lee,"$5,225,000"
Damian Lillard,"$3,202,920"
Damion James,"$107,776"
Daniel Orton,"$369,322"
Danilo Gallinari,"$10,146,925"
Danny Granger,"$14,379,240"
Danny Green,"$3,762,500"
Dante Cunningham,"$2,180,000"
Darius Johnson-Odom,"$46,404"
Darius Miller,"$788,872"
Darius Morris,"$944,923"
Darrell Arthur,"$3,231,683"
Darren Collison,"$1,900,000"
David Lee,"$13,878,000"
David West,"$12,000,000"
DeAndre Jordan,"$10,986,550"
DeAndre Liggins,"$88,429"
DeJuan Blair,"$941,000"
DeMar DeRozan,"$9,500,000"
DeMarcus Cousins,"$4,916,973"
DeMarre Carroll,"$2,500,000"
Dennis Schroeder,"$1,617,840"
Derek Fisher,"$1,399,507"
Deron Williams,"$18,466,130"
Derrick Favors,"$6,008,106"
Derrick Rose,"$17,632,688"
Derrick Williams,"$5,293,080"
Devin Harris,"$1,272,279"
Dewayne Dedmon,"$256,623"
Dexter Pittman,"$107,776"
Diante Garrett,"$719,266"
Dion Waiters,"$3,894,240"
Dionte Christmas,"$490,180"
Dirk Nowitzki,"$22,721,381"
DJ Augustin,"$592,279"
DJ Stephens,"$28,834"
Donald Sloan,"$884,293"
Donatas Motiejunas,"$1,422,720"
Dorell Wright,"$3,000,000"
Doron Lamb,"$788,872"
Draymond Green,"$875,500"
Drew Gooden,"$7,091,619"
Dwight Buycks,"$700,000"
Dwight Howard,"$20,513,178"
Dwyane Wade,"$18,536,000"
E'Twaun Moore,"$884,293"
Earl Clark,"$4,361,518"
Earl Watson,"$1,399,507"
Ed Davis,"$3,153,860"
Ekpe Udoh,"$4,469,547"
Elias Harris,"$100,000"
Elliot Williams,"$797,545"
Elton Brand,"$4,000,000"
Emeka Okafor,"$14,544,687"
Enes Kanter,"$4,753,320"
Eric Bledsoe,"$2,626,473"
Eric Gordon,"$14,283,844"
Eric Maynor,"$2,016,000"
Erik Murphy,"$455,580"
Ersan Ilyasova,"$7,900,000"
Evan Fournier,"$1,422,720"
Evan Turner,"$6,679,866"
Fab Melo,"$1,311,240"
Festus Ezeli,"$1,066,920"
Francisco Garcia,"$1,265,977"
Gal Mekel,"$490,180"
Garrett Temple,"$916,099"
Gary Neal,"$3,250,000"
George Hill,"$8,000,000"
Gerald Green,"$3,500,000"
Gerald Henderson,"$6,000,000"
Gerald Wallace,"$10,105,855"
Giannis Antetokounmpo,"$1,792,560"
Gigi Datome,"$1,750,000"
Gilbert Arenas,"$22,346,536"
Glen Davis,"$6,750,000"
Glen Rice Jr,"$490,180"
Goran Dragic,"$7,500,000"
Gordon Hayward,"$3,452,183"
Gorgui Dieng,"$1,352,640"
Greg Monroe,"$4,086,453"
Greg Oden,"$1,027,424"
Greg Smith,"$884,293"
Greg Stiemsma,"$2,676,000"
Greivis Vasquez,"$2,150,188"
Gustavo Ayon,"$1,500,000"
Hamed Haddadi,"$200,000"
Harrison Barnes,"$2,923,920"
Hasheem Thabeet,"$1,200,000"
Henry Sims,"$788,872"
Hidayet Turkoglu,"$6,650,359"
Hilton Armstrong,"$296,138"
Hollis Thompson,"$490,180"
Ian Clark,"$490,180"
Ian Mahinmi,"$4,000,000"
Iman Shumpert,"$1,797,600"
