Name,Salary
Aaron Brooks,"$915,243"
Aaron Gordon,"$3,992,040"
Aaron Gray,"$1,227,985"
Adreian Payne,"$1,855,320"
AJ Price,"$493,917"
Al Harrington,"$7,609,800"
Al Horford,"$12,000,000"
Al Jefferson,"$13,500,000"
Al-Farouq Aminu,"$981,084"
Alan Anderson,"$1,276,061"
Alec Burks,"$3,201,369"
Alex Kirk,"$214,871"
Alex Len,"$3,649,920"
Alexey Shved,"$3,198,723"
Alexis Ajinca,"$981,084"
Allen Crabbe,"$862,000"
Alonzo Gee,"$1,063,384"
Amare Stoudemire,"$21,896,658"
Amir Johnson,"$7,000,000"
Anderson Varejao,"$9,800,000"
Andre Dawkins,"$271,697"
Andre Drummond,"$2,568,360"
Andre Iguodala,"$12,289,544"
Andre Miller,"$4,625,000"
Andre Roberson,"$1,160,880"
Andrea Bargnani,"$12,000,000"
Andrei Kirilenko,"$3,326,235"
Andrew Bogut,"$12,972,973"
Andrew Nicholson,"$1,545,840"
Andrew Wiggins,"$5,510,640"
Anthony Bennett,"$5,563,920"
Anthony Davis,"$5,607,240"
Anthony Morrow,"$3,200,000"
Anthony Randolph,"$1,825,359"
Anthony Tolliver,"$3,000,000"
Archie Goodwin,"$1,112,280"
Arinze Onuaku,"$48,028"
Arnett Moultrie,"$1,136,160"
Aron Baynes,"$2,100,000"
Arron Afflalo,"$7,562,500"
Austin Daye,"$1,263,550"
Austin Rivers,"$2,439,840"
Avery Bradley,"$7,191,011"
Ben Gordon,"$4,500,000"
Ben McLemore,"$3,026,280"
Beno Udrih,"$2,077,000"
Bernard James,"$1,259,775"
Bismack Biyombo,"$4,086,453"
Blake Griffin,"$17,632,688"
Bojan Bogdanovic,"$3,278,000"
Boris Diaw,"$8,000,000"
Bradley Beal,"$4,505,280"
Brandan Wright,"$5,000,000"
Brandon Bass,"$6,950,000"
Brandon Davies,"$129,676"
Brandon Jennings,"$8,000,000"
Brandon Knight,"$3,553,917"
Brandon Roy,"$14,399,332"
Brandon Rush,"$1,145,685"
Brendan Haywood,"$9,798,000"
Brian Roberts,"$2,732,000"
Brook Lopez,"$15,719,000"
Bruno Caboclo,"$1,458,360"
Bryce Cotton,"$152,200"
Cameron Bairstow,"$507,336"
Carl Landry,"$6,750,000"
Carlos Boozer,"$16,800,000"
Carlos Delfino,"$3,250,000"
Carmelo Anthony,"$22,458,401"
Caron Butler,"$4,500,000"
Carrick Felix,"$816,482"
Cartier Martin,"$1,145,685"
Chandler Parsons,"$14,700,000"
Channing Frye,"$8,579,088"
Charlie Villanueva,"$1,316,809"
Chase Budinger,"$5,000,000"
Chris Andersen,"$5,300,000"
Chris Babb,"$48,028"
Chris Bosh,"$20,644,400"
Chris Copeland,"$3,130,000"
Chris Douglas-Roberts,"$915,243"
Chris Kaman,"$4,800,000"
Chris Paul,"$20,068,563"
Christapher Johnson,"$1,135,974"
Chuck Hayes,"$5,958,750"
CJ McCollum,"$2,421,000"
CJ Miles,"$4,205,000"
CJ Watson,"$2,077,000"
CJ Wilcox,"$1,109,760"
Cleanthony Early,"$507,336"
Clint Capela,"$1,189,200"
Cody Zeller,"$4,030,560"
Cole Aldrich,"$981,084"
Corey Brewer,"$4,702,500"
Cory Jefferson,"$507,336"
Cory Joseph,"$2,134,593"
Courtney Lee,"$5,450,000"
Dahntay Jones,"$721,169"
Damian Lillard,"$3,340,920"
Damien Inglis,"$820,000"
Damjan Rudez,"$1,100,000"
Danilo Gallinari,"$10,854,850"
Danny Granger,"$2,100,000"
Danny Green,"$4,025,000"
Dante Cunningham,"$831,941"
Dante Exum,"$3,615,000"
Darius Miller,"$915,243"
Darius Morris,"$803,149"
Darrell Arthur,"$3,457,149"
Darren Collison,"$4,797,664"
David Lee,"$15,012,000"
David Stockton,"$59,686"
David Wear,"$29,843"
David West,"$12,000,000"
DeAndre Jordan,"$11,440,123"
DeJuan Blair,"$2,000,000"
DeMar DeRozan,"$9,500,000"
DeMarcus Cousins,"$13,701,250"
DeMarre Carroll,"$2,500,000"
Dennis Schroeder,"$1,690,680"
Deron Williams,"$19,754,465"
Derrick Favors,"$12,950,000"
Derrick Rose,"$18,862,876"
Derrick Williams,"$6,679,866"
Devin Harris,"$3,878,896"
Devyn Marble,"$884,879"
Dewayne Dedmon,"$816,482"
Dion Waiters,"$4,062,000"
Dirk Nowitzki,"$7,974,482"
DJ Augustin,"$3,000,000"
Donald Sloan,"$948,163"
Donatas Motiejunas,"$1,483,920"
Dorell Wright,"$3,145,000"
Doug McDermott,"$2,277,960"
Draymond Green,"$915,243"
Drew Gooden,"$8,128,490"
Drew Gordon,"$73,657"
Dwight Buycks,"$48,028"
Dwight Howard,"$21,436,271"
Dwight Powell,"$507,336"
Dwyane Wade,"$15,000,000"
E'Twaun Moore,"$948,163"
Earl Barron,"$390,063"
Earl Clark,"$125,104"
Ed Davis,"$981,084"
Ekpe Udoh,"$981,084"
